"/soccer/football_team/current_roster./soccer/football_roster_position/position	",What is the position of [MASK]?
"/music/artist/origin	",What is the origin of [MASK]?
"/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position	",What is the position of players in the current roster of the [MASK] hockey team?
"/food/food/nutrients./food/nutrition_fact/nutrient	",What are the nutrients in [MASK]?
"/film/actor/film./film/performance/film	",What films has [MASK] acted in?
"/award/award_nominee/award_nominations./award/award_nomination/nominated_for	",For which awards was [MASK] nominated?
"/government/political_party/politicians_in_this_party./government/political_party_tenure/politician	",Who are the politicians affiliated with [MASK]'s political party?
"/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency	",What is the net worth of [MASK] in [MASK] currency?
"/people/deceased_person/place_of_death	",Where did [MASK] pass away?
"/people/person/profession	",What is the profession of [MASK]?
"/location/administrative_division/first_level_division_of	",What is the first-level division of [MASK]?
"/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team	",In the NCAA basketball tournament what seed is assigned to [MASK]'s team?
"/education/university/international_tuition./measurement_unit/dated_money_value/currency	",What is the international tuition for [MASK] in [MASK] currency?
"/location/us_county/county_seat	",What is the county seat of [MASK]?
"/location/location/partially_contains	",What is the county seat of [MASK]?
"/tv/tv_program/program_creator	",Who is the creator of the TV program [MASK]?
"/film/film/music	",What music is associated with the film [MASK]?
"/tv/tv_program/languages	",What languages are spoken in the TV program [MASK]?
"/common/topic/webpage./common/webpage/category	",What languages are spoken in the TV program [MASK]?
"/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy	",What taxonomy is associated with the entry [MASK]?
"/education/field_of_study/students_majoring./education/education/major_field_of_study	",What is the major field of study for students majoring in [MASK]?
"/business/business_operation/assets./measurement_unit/dated_money_value/currency	",What is the currency of the assets in the business operation [MASK]?
"/film/film_set_designer/film_sets_designed	",Which film sets has the film set designer [MASK] designed?
"/dataworld/gardening_hint/split_to	",How is [MASK] split in the gardening hint?
"/people/person/languages	",What languages does [MASK] speak?
"/business/job_title/people_with_this_title./business/employment_tenure/company	",In which companies has a person with the job title [MASK] been employed?
"/location/country/form_of_government	",What form of government does [MASK] have?
"/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language	",What language is associated with the phone service of [MASK]'s organization?
"/people/person/place_of_birth	",Where was [MASK] born?
"/sports/sports_team/colors	",What are the colors of the sports team [MASK]?
"/education/educational_institution/school_type	",What type of school is [MASK]?
"/award/award_category/winners./award/award_honor/award_winner	",Who are the winners of the award category [MASK]?
"/organization/organization/headquarters./location/mailing_address/citytown	",In which city or town is the headquarters of [MASK] located?
"/education/educational_degree/people_with_this_degree./education/education/student	",Who are the people with the educational degree [MASK]?
"/government/legislative_session/members./government/government_position_held/legislative_sessions	",Who are the people with the educational degree [MASK]?
"/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium	",Who are the people with the educational degree [MASK]?
"/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	",What major field of study do people with the educational degree [MASK] typically pursue?
"/location/hud_county_place/county	",Which county is associated with the place [MASK]?
"/location/administrative_division/country	",What country is in the administrative division of [MASK]?
